STATUS,GTIN_14,GTIN_12_UPC,PACKAGING_TYPE,PACKAGING_LEVEL,PRODUCT_DESCRIPTION,SKU
In Use,00810008125816,810008125816,Regular,Each,"Freedom All Poly Tibial CR, Size E3, 09mm",ALCRXE309-K
In Use,00810008125823,810008125823,Regular,Each,"Freedom All Poly Tibial CR, Size E3, 11mm",ALCRXE311-K
In Use,00810008125830,810008125830,Regular,Each,"Freedom All Poly Tibial CR, Size E3, 14mm",ALCRXE314-K
In Use,00810008125847,810008125847,Regular,Each,"Freedom All Poly Tibial CR, Size E3, 17mm",ALCRXE317-K
In Use,00811767023016,811767023016,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E4 9mm",ALCRXE409-K
In Use,00811767023023,811767023023,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E4 11mm",ALCRXE411-K
In Use,00811767023030,811767023030,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E4 14mm",ALCRXE414-K
In Use,00811767023047,811767023047,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E4 17mm",ALCRXE417-K
In Use,00811767023054,811767023054,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E4 20mm",ALCRXE420-K
In Use,00811767023061,811767023061,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E5 9mm",ALCRXE509-K
In Use,00811767023078,811767023078,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E5 11mm",ALCRXE511-K
In Use,00811767023085,811767023085,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E5 14mm",ALCRXE514-K
In Use,00811767023092,811767023092,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E5 17mm",ALCRXE517-K
In Use,00811767023108,811767023108,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size E5 20mm",ALCRXE520-K
In Use,00810008125854,810008125854,Regular,Each,"Freedom All Poly Tibial CR, Size E6, 09mm",ALCRXE609-K
In Use,00810008125861,810008125861,Regular,Each,"Freedom All Poly Tibial CR, Size E6, 11mm",ALCRXE611-K
In Use,00810008125878,810008125878,Regular,Each,"Freedom All Poly Tibial CR, Size E6, 14mm",ALCRXE614-K
In Use,00810008125885,810008125885,Regular,Each,"Freedom All Poly Tibial CR, Size E6, 17mm",ALCRXE617-K
In Use,00811767023115,811767023115,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size F5 9mm",ALCRXF509-K
In Use,00811767023122,811767023122,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size F5 11mm",ALCRXF511-K
In Use,00811767023139,811767023139,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size F5 14mm",ALCRXF514-K
In Use,00811767023146,811767023146,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size F5 17mm",ALCRXF517-K
In Use,00811767023153,811767023153,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size F5 20mm",ALCRXF520-K
In Use,00810008125892,810008125892,Regular,Each,"Freedom All Poly Tibial CR, Size F6, 09mm",ALCRXF609-K
In Use,00810008125908,810008125908,Regular,Each,"Freedom All Poly Tibial CR, Size F6, 11mm",ALCRXF611-K
In Use,00810008125915,810008125915,Regular,Each,"Freedom All Poly Tibial CR, Size F6, 14mm",ALCRXF614-K
In Use,00810008125922,810008125922,Regular,Each,"Freedom All Poly Tibial CR, Size F6, 17mm",ALCRXF617-K
In Use,00810008125939,810008125939,Regular,Each,"Freedom All Poly Tibial CR, Size F7, 09mm",ALCRXF709-K
In Use,00810008125946,810008125946,Regular,Each,"Freedom All Poly Tibial CR, Size F7, 11mm",ALCRXF711-K
In Use,00810008125953,810008125953,Regular,Each,"Freedom All Poly Tibial CR, Size F7, 14mm",ALCRXF714-K
In Use,00810008125960,810008125960,Regular,Each,"Freedom All Poly Tibial CR, Size F7, 17mm",ALCRXF717-K
In Use,00810008125977,810008125977,Regular,Each,"Freedom All Poly Tibial CR, Size G5, 09mm",ALCRXG509-K
In Use,00810008125984,810008125984,Regular,Each,"Freedom All Poly Tibial CR, Size G5, 11mm",ALCRXG511-K
In Use,00810008125991,810008125991,Regular,Each,"Freedom All Poly Tibial CR, Size G5, 14mm",ALCRXG514-K
In Use,00810008126004,810008126004,Regular,Each,"Freedom All Poly Tibial CR, Size G5, 17mm",ALCRXG517-K
In Use,00810008126011,810008126011,Regular,Each,"Freedom All Poly Tibial CR, Size G6, 09mm",ALCRXG609-K
In Use,00810008126028,810008126028,Regular,Each,"Freedom All Poly Tibial CR, Size G6, 11mm",ALCRXG611-K
In Use,00810008126035,810008126035,Regular,Each,"Freedom All Poly Tibial CR, Size G6, 14mm",ALCRXG614-K
In Use,00810008126042,810008126042,Regular,Each,"Freedom All Poly Tibial CR, Size G6, 17mm",ALCRXG617-K
In Use,00811767023160,811767023160,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size G7 9mm",ALCRXG709-K
In Use,00811767023177,811767023177,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size G7 11mm",ALCRXG711-K
In Use,00811767023184,811767023184,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size G7 14mm",ALCRXG714-K
In Use,00811767023191,811767023191,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size G7 17mm",ALCRXG717-K
In Use,00811767023207,811767023207,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size G7 20mm",ALCRXG720-K
In Use,00810008126059,810008126059,Regular,Each,"Freedom All Poly Tibial CR, Size G8, 09mm",ALCRXG809-K
In Use,00810008126066,810008126066,Regular,Each,"Freedom All Poly Tibial CR, Size G8, 11mm",ALCRXG811-K
In Use,00810008126073,810008126073,Regular,Each,"Freedom All Poly Tibial CR, Size G8, 14mm",ALCRXG814-K
In Use,00810008126080,810008126080,Regular,Each,"Freedom All Poly Tibial CR, Size G8, 17mm",ALCRXG817-K
In Use,00811767023214,811767023214,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size H7 9mm",ALCRXH709-K
In Use,00811767023221,811767023221,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size H7 11mm",ALCRXH711-K
In Use,00811767023238,811767023238,Regular,Each,"FREEDOM K All Poly Tibial Liner CR, Size H7 14mm",ALCRXH714-K
